jurisdiction,slug,field,source,is_secondary
Rajasthan,rajasthan,actName,https://prsindia.org/files/bills_acts/bills_states/rajasthan/2026/Bill5of2026RJ.pdf,false
Rajasthan,rajasthan,dailyHours,https://prsindia.org/files/bills_acts/bills_states/rajasthan/2026/Bill5of2026RJ.pdf,false
Rajasthan,rajasthan,weeklyHours,"https://www.indiacode.nic.in/bitstream/123456789/18868/1/the_rajasthan_shops_and_commercial_establishments_act,_1958.pdf",false
Rajasthan,rajasthan,spreadOver,"https://www.indiacode.nic.in/bitstream/123456789/18868/1/the_rajasthan_shops_and_commercial_establishments_act,_1958.pdf",false
Rajasthan,rajasthan,restInterval,https://prsindia.org/files/bills_acts/bills_states/rajasthan/2026/Bill5of2026RJ.pdf,false
Rajasthan,rajasthan,overtimeRate,"https://www.indiacode.nic.in/bitstream/123456789/18868/1/the_rajasthan_shops_and_commercial_establishments_act,_1958.pdf",false
Rajasthan,rajasthan,overtimeCap,https://prsindia.org/files/bills_acts/bills_states/rajasthan/2026/Bill5of2026RJ.pdf,false
Rajasthan,rajasthan,weeklyOff,https://labour.rajasthan.gov.in/notification.aspx,false
Rajasthan,rajasthan,womenNightShift,https://labour.rajasthan.gov.in/notification.aspx,false
Rajasthan,rajasthan,itExemption,https://labour.rajasthan.gov.in/notification.aspx,false
Goa,goa,actName,https://www.goa.gov.in/wp-content/uploads/2020/09/Goa-Daman-Diu-Shops-Establishments-Act-1973..pdf,false
Goa,goa,dailyHours,https://www.goa.gov.in/wp-content/uploads/2020/09/Goa-Daman-Diu-Shops-Establishments-Act-1973..pdf,false
Goa,goa,weeklyHours,https://www.goa.gov.in/wp-content/uploads/2020/09/Goa-Daman-Diu-Shops-Establishments-Act-1973..pdf,false
Goa,goa,spreadOver,https://www.goa.gov.in/wp-content/uploads/2020/09/Goa-Daman-Diu-Shops-Establishments-Act-1973..pdf,false
Goa,goa,restInterval,https://www.goa.gov.in/wp-content/uploads/2020/09/Goa-Daman-Diu-Shops-Establishments-Act-1973..pdf,false
Goa,goa,overtimeRate,https://www.goa.gov.in/wp-content/uploads/2020/09/Goa-Daman-Diu-Shops-Establishments-Act-1973..pdf,false
Goa,goa,overtimeCap,https://www.goa.gov.in/wp-content/uploads/2020/09/Goa-Daman-Diu-Shops-Establishments-Act-1973..pdf,false
